[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\map.png	255	255	255
2	textures\enemy.png	255	255	255
3	textures\misc.png	255	255	255
4	textures\effect.png	255	255	255
5	textures\HUD.png	255	255	255
6	textures\pipe.png	255	255	255
10	textures\bbox.png	255	255	255
11	textures\MapTileSet.png	255	255	255
[MAP]
1	map.txt

[SPRITES]
# SMALL MARIO
# id	left	top	width	height	scale X	scale Y	xPivot	texture_id							
30001	471	564	48	48	1	1	0	3
30002	528	564	48	48	1	1	0	3
30003	588	564	48	48	1	1	0	3
30004	645	564	48	48	1	1	0	3

#COIN
30005	950	300	42	48	0.9	0.9	0	3
30006	1013	300	30	47	0.9	0.9	0	3
30007	1071	300	18	48	0.9	0.9	0	3
30008	1116	300	30	49	0.9	0.9	0	3

#MUSHROOM
30009	468	363	48	48	1	1	0	3

#breakable brick
30010	822	564	48	48	1	1	0	3
30011	879	564	48	48	1	1	0	3
30012	936	564	48	48	1	1	0	3
30013	993	564	48	48	1	1	0	3

#brick pieces
30014	462	1053	33	39	1	1	0	3
30015	498	1056	39	33	1	1	0	3
30016	540	1053	33	39	1	1	0	3
30017	576	1056	39	33	1	1	0	3

#leaf
30018	540	368	48	42	1	1	0	3

#HUD
50000	20	375	725	120	1	1	0	5
50001	110	531	24	20	1	1	0	5
50002	137	531	45	21	1	1	0	5
50003	191	531	24	29	1	1	0	5
50004	218	531	21	45	1	1	0	5
#random card
50005	431	522	72	84	1	1	0	5
50006	524	522	72	84	1	1	0	5
50007	614	522	72	84	1	1	0	5
#score FX
50008	183	267	33	24	1	1	0	5
50009	225	267	36	24	1	1	0	5
50010	270	267	36	24	1	1	0	5
50011	315	267	36	24	1	1	0	5
50012	360	267	45	24	1	1	0	5
50013	414	267	48	24	1	1	0	5
50014	471	267	48	24	1	1	0	5
50015	528	267	48	24	1	1	0	5
#1up fx
50016	585	267	48	24	1	1	0	5

#PIPE	
60000	96	96	96	96	1	1	0	6
60001	576	96	96	96	1	-1	0	6

[ANIMATIONS]
#plant
22000	22000	900	22001	200
22001	22002	900	22003	200

#KOOPAS
21000	21000	100	21001	100
21001	21002	100
21002	21003	100	21004	100	21005	100
21003	21006	100
#flykoo
21004	21007	100	21008	100	21009	100

#GOOMBA
20000	20000	100	20001	100
20001	20002	100
20002	20003	100

#flygoomba
20003	20004	100	20005	100	20006	100	20007	100

#SMALL MARIO
# ani_id	sprite1_id	time1	sprite2_id	time2	...
#icon					
10000	10000	100	10001	100
#idle
10001	10002	100
#walk					
10002	10002	100	10003	100
#skid					
10003	10004	100
#jump					
10005	10005	100
#fall					
10006	10005	100
#run at highest speed					
10007	10006	100	10007	100
#fly					
10008	10008	100
#slide					
10010	10009	100
#pipe					
10011	10010	100
#die					
10017	10011	100
#bring					
10012	10012	100	10013	100
#kick					
10013	10014	100
#dive					
10014	10015	100	10016	100
#swim					
10015	10017	100	10018	100
#climb 					
10016	10019	100	10020	100

#BIG MARIO
# ani_id	sprite1_id	time1	sprite2_id	time2	...	
#icon						
11000	10021	100	10022	100
#idle						
11001	10023	100
#walk						
11002	10023	100	10024	100	10025	100
#skid						
11003	10026	100
#jump						
11005	10027	100
#fall						
11006	10025	100
#run at high speed						
11007	10028	100	10029	100	10030	100
#fly						
11008	10031	100
#crunch						
11009	10032	100
#slide						
11010	10033	100
#pipe						
11011	10034	100
#bring						
11012	10035	100	10036	100	10037	100
#kick	
11013	10038	100
#dive						
11014	10039	100	10040	100	10041	100
#swim						
11015	10042	100	10043	100
#climb						
11016	10044	100	10045	100

#FIRE MARIO
# ani_id	sprite1_id	time1	sprite2_id	time2	...	
#icon						
12000	10046	100	10047	100
#idle						
12001	10052	100
#walk						
12002	10052	100	10053	100	10054	100
#skid						
12003	10055	100
#attack						
12004	10056	100	10057	100
#jump						
12005	10058	100
#fall						
12006	10054	100
#run at high speed						
12007	10059	100	10060	100	10061	100
#fly						
12008	10062	100
#crunch						
12009	10063	100
#slide		
12010	10064	100
#pipe						
12011	10065	100
#bring						
12012	10066	100	10067	100	10068	100
#kick						
12013	10069	100
#dive						
12014	10070	100	10071	100	10072	100
#swim						
12015	10073	100	10074	100
#climb						
12016	10075	100	10076	100
#fireball
12017	10048	100	10049	100	10050	100	10051	100
#fireball particle
12018	40000	100	40001	100	40002	100	40003	100

#RACOON MARIO
# ani_id	sprite1_id	time1	sprite2_id	time2	...			
#icon								
13000	10077	100	10078	100	10079	100	10080	100
#idle								
13001	10081	100
#walk								
13002	10081	100	10082	100	10083	100
#skid								
13003	10084	100
#attack								
13004	10085	100	10086	100	10087	100
#jump		
13005	10089	100
#fall								
13006	10090	100	10091	100	10092	100
#run at high speed						
13007	10093	100	10094	100	10095	100
#fly								
13008	10096	100	10097	100	10098	100
#crunch								
13009	10099	100
#slide								
13010	10100	100
#pipe		
13011	10085	100
#bring								
13012	10101	100	10102	100	10103	100
#kick		
13013	10104	100
#dive								
13014	10105	100	10106	100	10107	100
#swim								
13015	10108	100	10109	100
#climb								
13016	10110	100	10111	100

#brick
30000	30000	100

#question brick
30001	30001	170	30002	170	30003	170	30004	170

#coin
30002	30005	50	30006	50	30007	50	30008	50

#mushroom
30003	30009	100
#leaf
30005	30018	100

#breackable brick
30004	30010	100	30011	100	30012	100	30013	100

#random card
50000	50005	100
50001	50006	100
50002	50007	100

#score FX
50003	50008	100
50004	50009	100
50005	50010	100
50006	50011	100
50007	50012	100
50008	50013	100
50009	50014	100
50010	50015	100

#lv up fx
50011	50016	100

[ANIMATION_SETS]
# id	ani1	ani2	ani3															
#SmallMario																		
10000	10000	10001	10002	10003	10001	10005	10006	10007	10008	10001	10010	10011	10012	10013	10014	10015	10016	10017
#BigMario																		
11000	11000	11001	11002	11003	11001	11005	11006	11007	11008	11009	11010	11011	11012	11013	11014	11015	11016
#FireMario																	
12000	12000	12001	12002	12003	12004	12005	12006	12007	12008	12009	12010	12011	12012	12013	12014	12015	12016
#RacoonMario																		
13000	13000	13001	13002	13003	13004	13005	13006	13007	13008	13009	13010	13011	13012	13013	13014	13015	13016
#goomba
20000	20000	20001	20002
#flygoomba
20001	20003	20000	20001	20002
#koopas
21000	21000	21001	21002	21003
#flykoo
21001	21004	21000	21001	21002	21003
#plant
22000	22000	22001
#fireball
30000	12017	12018
30001	30000
#question brick
30002	30001	30000
#coin
30003	30002
#mushroom
30004	30003	30000
#breakable brick
30005	30004
#random card
50000	50000	50001	50002
#score fx
50001	50003	50004	50005	50006	50007	50008	50009	50010
#lvup fx
50002	50011

[FONTS]
#fontID	ascii	t	l	w	h
5	48	72	96	24	24
5	49	72	162	18	24
5	50	72	213	24	24
5	51	72	270	24	24
5	52	72	324	24	24
5	53	72	381	24	24
5	54	72	435	24	24
5	55	72	486	24	24
5	56	72	537	24	24
5	57	72	591	24	24
5	65	72	645	24	24
5	66	72	702	24	24
5	67	117	96	24	24
5	68	117	159	24	24
5	69	117	213	24	24
5	70	117	270	24	24
5	71	117	324	24	24
5	72	117	381	24	24
5	73	117	438	12	24
5	74	117	486	24	24
5	75	117	537	24	24
5	76	117	591	24	24
5	77	117	645	24	24
5	78	117	702	24	24
5	79	165	96	24	24
5	80	165	159	24	24
5	81	165	213	24	24
5	82	165	270	24	24
5	83	165	324	24	24
5	84	165	381	24	24
5	85	165	435	24	24
5	86	165	486	24	24
5	87	165	537	24	24
5	88	165	591	24	24
5	89	165	645	24	24
5	90	165	702	24	24


[GAMEPANEL]
#type	x	y
#1: frame, 2: score, 3: coin, 4: index, 5: life

[GROUNDS]
912	1248	1872	48
2544	1224	1392	96
3961	1248	1058	48
4702	1248	240	48
5831	1248	1721	48
7432	1248	1372	48
6505	1872	480	48
6720	1824	48	48
6768	1776	48	48
6816	1728	48	48
6866	1680	48	48
6914	1632	48	48
7010	1584	144	48
7106	1536	48	288
6290	1632	48	432
6697	1392	576	48

[GHOSTPLATFORM]
#0 = ghost, 1 = solid
766	1150	140	140	0
862.5	1105	140	240	0
1297	1150	236	140	0
1462	1105	186	240	0
1657	1178	285	100	0
1607	1060	180	340	0
3932	1177	324	100	0
4030	1124	327	188	0
1081	1148	83	140	1
4123	1075	326	270	0
4512	1008	48	48	1
4560	1008	48	48	1
4704	1200	48	48	1
4752	1152	48	48	1
4800	1104	48	48	1
4992	1104	48	48	1
5040	1152	48	48	1
5088	1200	48	48	1
4008	456	192	96	0
4296	576	192	48	0
4752	528	624	48	0
6480	1152	144	144	0
6576	1008	144	432	0
6792	1152	96	144	1
6792	672	96	528	1

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = koopas,4 = breakBrick, 5 = flygoom, 6 = flykoo, 7 = venus, 8 = piranha, 11 = pButton
# MARIO
1	532	1060	30002
1	580	1060	30002
1	676	920	30002
1	724	920	30002
1	772	920	30002
1	820	920	30002
1	868	920	30002
2	528	1152	20000
3	1824	1056	21000
7	1080	1036	22000
6	650	1000	21001

[PIPE]
#dir -> 0: down, 1: up
#xIn	yIn	xOut	yOut	dir	sprIn	sprOut	borL	borR	borT	borB	offL	offR	offT	offB
6792	359	6361	1416	0	60000	60001	6169	7223	1370	1943	144	144	0	0
7033	1416	6984	1177	1	60001	60000	0	8118	0	1250	270	270	140	144
